lang,time,titles,mTitles,fTitles,mPerc
cze,T1,12,9,3,75
cze,T2,21,17,4,80.9
cze,T3,39,36,3,92.3
cze,T4,28,26,2,92.8
deu,T1,25,17,8,68
deu,T2,25,18,7,72
deu,T3,25,16,9,64
deu,T4,25,16,9,64
eng,T1,21,11,10,52.3
eng,T2,22,10,12,45.4
eng,T3,31,14,17,45.1
eng,T4,26,14,12,53.8
fra,T1,25,16,9,64
fra,T2,25,14,11,56
fra,T3,25,16,9,64
fra,T4,25,20,5,80
gsw,T1,1,1,0,100
gsw,T2,2,1,1,50
gsw,T3,16,10,6,62.5
gsw,T4,27,16,11,59.2
hun,T1,22,19,3,86.3
hun,T2,21,14,7,66.6
hun,T3,27,23,4,85.1
hun,T4,30,23,7,76.6
nor,T1,4,3,1,75
nor,T2,2,2,0,100
nor,T3,30,25,5,83.3
nor,T4,18,8,10,44.4
pol,T1,8,5,3,62.5
pol,T2,11,5,6,45.4
pol,T3,35,20,15,57.1
pol,T4,46,28,18,60.8
por,T1,13,11,2,84.6
por,T2,37,32,5,86.4
por,T3,19,17,2,89.4
por,T4,31,23,8,74.1
slv,T1,2,2,0,100
slv,T2,13,13,0,100
slv,T3,36,30,6,83.3
slv,T4,49,44,5,89.7
spa,T1,22,14,8,63.6
spa,T2,22,18,4,81.8
spa,T3,28,23,5,82.1
spa,T4,26,21,5,80.7
srp,T1,2,2,0,100
srp,T2,18,18,0,100
srp,T3,40,37,3,92.5
srp,T4,40,35,5,87.5
